stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87393009,Versailles Chantiers,,48.7956490,2.13592400,,,1,
StopPoint:OCEOUIGO-87393009,Versailles Chantiers,,48.7956490,2.13592400,,,0,StopArea:OCE87393009
StopArea:OCE87393579,Massy Palaiseau RER C,,48.7256310,2.25786800,,,1,
StopPoint:OCEOUIGO-87393579,Massy Palaiseau RER C,,48.7256310,2.25786800,,,0,StopArea:OCE87393579
StopArea:OCE87394007,Chartres,,48.4486280,1.48120200,,,1,
StopPoint:OCEOUIGO-87394007,Chartres,,48.4486280,1.48120200,,,0,StopArea:OCE87394007
StopArea:OCE87396002,Le Mans,,47.9952170,0.19243400,,,1,
StopPoint:OCEOUIGO-87396002,Le Mans,,47.9952170,0.19243400,,,0,StopArea:OCE87396002
StopArea:OCE87481002,Nantes,,47.2170940,-1.5414240,,,1,
StopPoint:OCEINTERCITES-87481002,Nantes,,47.2170940,-1.5414240,,,0,StopArea:OCE87481002
StopPoint:OCEOUIGO-87481002,Nantes,,47.2170940,-1.5414240,,,0,StopArea:OCE87481002
StopArea:OCE87481440,Clisson,,47.0859200,-1.2865200,,,1,
StopPoint:OCEINTERCITES-87481440,Clisson,,47.0859200,-1.2865200,,,0,StopArea:OCE87481440
StopArea:OCE87484006,Angers Saint-Laud,,47.4643600,-0.5568000,,,1,
StopPoint:OCEINTERCITES-87484006,Angers Saint-Laud,,47.4643600,-0.5568000,,,0,StopArea:OCE87484006
StopPoint:OCEOUIGO-87484006,Angers Saint-Laud,,47.4643600,-0.5568000,,,0,StopArea:OCE87484006
StopArea:OCE87485003,La Rochelle,,46.1527030,-1.1452880,,,1,
StopPoint:OCEINTERCITES-87485003,La Rochelle,,46.1527030,-1.1452880,,,0,StopArea:OCE87485003
StopArea:OCE87485144,Rochefort,,45.9474160,-0.9637880,,,1,
StopPoint:OCEINTERCITES-87485144,Rochefort,,45.9474160,-0.9637880,,,0,StopArea:OCE87485144
StopArea:OCE87486019,La Roche-sur-Yon,,46.6719150,-1.4358420,,,1,
StopPoint:OCEINTERCITES-87486019,La Roche-sur-Yon,,46.6719150,-1.4358420,,,0,StopArea:OCE87486019
StopArea:OCE87486258,Luçon,,46.4637230,-1.1674260,,,1,
StopPoint:OCEINTERCITES-87486258,Luçon,,46.4637230,-1.1674260,,,0,StopArea:OCE87486258
StopArea:OCE87487603,Saumur,,47.2689500,-0.0715190,,,1,
StopPoint:OCEINTERCITES-87487603,Saumur,,47.2689500,-0.0715190,,,0,StopArea:OCE87487603
StopPoint:OCEOUIGO-87487603,Saumur,,47.2689500,-0.0715190,,,0,StopArea:OCE87487603
StopArea:OCE87491001,Saintes,,45.7488860,-0.6173560,,,1,
StopPoint:OCEINTERCITES-87491001,Saintes,,45.7488860,-0.6173560,,,0,StopArea:OCE87491001
StopArea:OCE87491142,Jonzac,,45.4386280,-0.4416940,,,1,
StopPoint:OCEINTERCITES-87491142,Jonzac,,45.4386280,-0.4416940,,,0,StopArea:OCE87491142
StopArea:OCE87543017,Les Aubrais,,47.9268010,1.90662900,,,1,
StopPoint:OCEINTERCITES-87543017,Les Aubrais,,47.9268010,1.90662900,,,0,StopArea:OCE87543017
StopPoint:OCEINTERCITES de nuit-87543017,Les Aubrais,,47.9268010,1.90662900,,,0,StopArea:OCE87543017
StopPoint:OCEOUIGO-87543017,Les Aubrais,,47.9268010,1.90662900,,,0,StopArea:OCE87543017
StopArea:OCE87545244,Juvisy,,48.6899690,2.38350200,,,1,
StopPoint:OCEOUIGO-87545244,Juvisy,,48.6899690,2.38350200,,,0,StopArea:OCE87545244
StopArea:OCE87547000,Paris Austerlitz,,48.8404960,2.36707900,,,1,
StopPoint:OCEINTERCITES-87547000,Paris Austerlitz,,48.8404960,2.36707900,,,0,StopArea:OCE87547000
StopPoint:OCEINTERCITES de nuit-87547000,Paris Austerlitz,,48.8404960,2.36707900,,,0,StopArea:OCE87547000
StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.8404960,2.36707900,,,0,StopArea:OCE87547000
StopArea:OCE87571240,Saint-Pierre-des-Corps,,47.3856390,0.72369600,,,1,
StopPoint:OCEINTERCITES-87571240,Saint-Pierre-des-Corps,,47.3856390,0.72369600,,,0,StopArea:OCE87571240
StopPoint:OCEOUIGO-87571240,Saint-Pierre-des-Corps,,47.3856390,0.72369600,,,0,StopArea:OCE87571240
StopArea:OCE87574004,Blois - Chambord,,47.5854490,1.32375900,,,1,
StopPoint:OCEOUIGO-87574004,Blois - Chambord,,47.5854490,1.32375900,,,0,StopArea:OCE87574004
