route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000001,OCESN14140F1608631:2023-04-30T00:46:58Z,14140,0,1,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000002,OCESN14140F1712056:2023-05-03T00:44:33Z,14140,0,2,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000003,OCESN14140F1728488:2023-05-05T00:44:59Z,14140,0,3,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000004,OCESN14140F1728627:2023-05-07T00:45:20Z,14140,0,4,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000005,OCESN14140F1729449:2023-03-22T00:53:22Z,14140,0,5,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000006,OCESN14140F2219455:2023-05-05T00:44:59Z,14140,0,6,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000007,OCESN14140F2229918:2023-05-05T00:44:59Z,14140,0,7,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14140F2229919:2023-05-05T00:44:59Z,14140,0,8,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14140F2229920:2023-05-05T00:44:59Z,14140,0,9,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000010,OCESN14141F1608638:2023-04-30T00:46:58Z,14141,1,10,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000011,OCESN14141F1608648:2023-05-05T00:44:59Z,14141,1,11,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000012,OCESN14141F1608651:2023-04-28T00:56:33Z,14141,1,12,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000013,OCESN14141F1665184:2023-03-22T00:53:22Z,14141,1,13,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000014,OCESN14141F1684418:2023-05-07T00:45:20Z,14141,1,14,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000015,OCESN14141F1711593:2023-05-06T00:48:00Z,14141,1,15,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000016,OCESN14141F1803331:2023-03-22T00:53:22Z,14141,1,16,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14141F2219531:2023-05-05T00:44:59Z,14141,1,17,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000006,OCESN14141F2230021:2023-05-05T00:44:59Z,14141,1,18,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14141F2230022:2023-05-05T00:44:59Z,14141,1,19,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000007,OCESN14141F2230023:2023-05-05T00:44:59Z,14141,1,20,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000017,OCESN14142F1608619:2023-05-05T00:44:59Z,14142,0,21,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000001,OCESN14142F1608727:2023-04-30T00:46:58Z,14142,0,22,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000018,OCESN14142F1722604:2023-05-07T00:45:20Z,14142,0,23,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14142F2218547:2023-05-05T00:44:59Z,14142,0,24,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000006,OCESN14142F2229762:2023-05-05T00:44:59Z,14142,0,25,
