trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12213F1325000:2023-04-25T00:49:04Z,19:08:00,19:08:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F1325000:2023-04-25T00:49:04Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F1325000:2023-04-25T00:49:04Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F1325000:2023-04-25T00:49:04Z,23:02:00,23:05:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F1325000:2023-04-25T00:49:04Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F1646870:2023-02-14T12:13:01Z,19:08:00,19:08:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F1646870:2023-02-14T12:13:01Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F1646870:2023-02-14T12:13:01Z,22:25:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,1,0,
OCESN12213F1647022:2023-02-14T12:13:01Z,19:08:00,19:08:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F1647022:2023-02-14T12:13:01Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F1647022:2023-02-14T12:13:01Z,22:23:00,22:26:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F1647022:2023-02-14T12:13:01Z,23:01:00,23:04:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F1647022:2023-02-14T12:13:01Z,23:35:00,23:35:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F1897413:2023-03-03T00:45:51Z,18:28:00,18:28:00,StopPoint:OCETGV INOUI-87547000,0,,0,1,
OCESN12213F1897413:2023-03-03T00:45:51Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F1897413:2023-03-03T00:45:51Z,22:23:00,22:26:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F1897413:2023-03-03T00:45:51Z,23:01:00,23:04:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F1897413:2023-03-03T00:45:51Z,23:35:00,23:35:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F1898642:2023-03-04T00:52:08Z,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87547000,0,,0,1,
OCESN12213F1898642:2023-03-04T00:52:08Z,21:53:00,21:59:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F1898642:2023-03-04T00:52:08Z,23:03:00,23:03:00,StopPoint:OCETGV INOUI-87586008,2,,1,0,
OCESN12213F2032206:2023-03-19T00:51:48Z,18:28:00,18:28:00,StopPoint:OCETGV INOUI-87547000,0,,0,1,
OCESN12213F2032206:2023-03-19T00:51:48Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F2032206:2023-03-19T00:51:48Z,22:25:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,1,0,
OCESN12244F1335323:2023-05-07T00:45:20Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12244F1335323:2023-05-07T00:45:20Z,20:44:00,20:47:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12244F1335323:2023-05-07T00:45:20Z,20:58:00,20:58:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12244F1896015:2023-05-07T00:45:20Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12244F1896015:2023-05-07T00:45:20Z,20:44:00,20:47:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12244F1896015:2023-05-07T00:45:20Z,20:58:00,20:58:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12246F2207953:2023-05-01T00:53:04Z,19:37:00,19:37:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12246F2207953:2023-05-01T00:53:04Z,21:44:00,21:44:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12250F1646625:2023-05-07T00:45:20Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1646625:2023-05-07T00:45:20Z,11:17:00,11:17:00,StopPoint:OCETGV INOUI-87547000,1,,1,0,
OCESN12250F1957724:2023-05-07T00:45:20Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F1957724:2023-05-07T00:45:20Z,11:17:00,11:17:00,StopPoint:OCETGV INOUI-87547000,1,,1,0,
OCESN12250F2150288:2023-05-07T00:45:20Z,08:46:00,08:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12250F2150288:2023-05-07T00:45:20Z,10:52:00,10:52:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12251F1624854:2023-05-07T00:45:20Z,07:08:00,07:08:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F1624854:2023-05-07T00:45:20Z,09:15:00,09:15:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F1646626:2023-05-07T00:45:20Z,07:08:00,07:08:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F1646626:2023-05-07T00:45:20Z,09:15:00,09:15:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12251F1983246:2023-05-07T00:45:20Z,07:08:00,07:08:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12251F1983246:2023-05-07T00:45:20Z,09:15:00,09:15:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12252F1646158:2023-05-07T00:45:20Z,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12252F1646158:2023-05-07T00:45:20Z,12:18:00,12:18:00,StopPoint:OCETGV INOUI-87547000,1,,1,0,
OCESN12252F2000103:2023-05-07T00:45:20Z,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12252F2000103:2023-05-07T00:45:20Z,11:52:00,11:52:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12252F2000933:2023-05-07T00:45:20Z,09:46:00,09:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12252F2000933:2023-05-07T00:45:20Z,11:52:00,11:52:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F1302514:2023-05-07T00:45:20Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1302514:2023-05-07T00:45:20Z,12:52:00,12:52:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F1304091:2023-05-07T00:45:20Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1304091:2023-05-07T00:45:20Z,12:52:00,12:52:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F1369999:2023-05-07T00:45:20Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1369999:2023-05-07T00:45:20Z,12:52:00,12:52:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F1584171:2023-05-07T00:45:20Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1584171:2023-05-07T00:45:20Z,12:52:00,12:52:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12254F1624849:2023-05-07T00:45:20Z,10:46:00,10:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12254F1624849:2023-05-07T00:45:20Z,12:52:00,12:52:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12255F1317902:2023-05-07T00:45:20Z,11:08:00,11:08:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12255F1317902:2023-05-07T00:45:20Z,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
