stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE71043075,FIGUERES-VILAFANT,,42.2645810,2.94302800,,,1,
StopPoint:OCETGV INOUI-71043075,FIGUERES-VILAFANT,,42.2645810,2.94302800,,,0,StopArea:OCE71043075
StopArea:OCE71718010,Barcelone-Sants,,41.3794970,2.14060700,,,1,
StopPoint:OCETGV INOUI-71718010,Barcelone-Sants,,41.3794970,2.14060700,,,0,StopArea:OCE71718010
StopArea:OCE71793000,GIRONA,,41.9793710,2.81695700,,,1,
StopPoint:OCETGV INOUI-71793000,GIRONA,,41.9793710,2.81695700,,,0,StopArea:OCE71793000
StopArea:OCE80021402,Augsburg Hbf,,48.3656160,10.8856920,,,1,
StopPoint:OCEICE-80021402,Augsburg Hbf,,48.3656160,10.8856920,,,0,StopArea:OCE80021402
StopArea:OCE80110684,Francfort sur le Main,,50.1073000,8.66240000,,,1,
StopPoint:OCEICE-80110684,Francfort sur le Main,,50.1073000,8.66240000,,,0,StopArea:OCE80110684
StopArea:OCE80140087,Mannheim Hbf,,49.4794000,8.46960000,,,1,
StopPoint:OCEICE-80140087,Mannheim Hbf,,49.4794000,8.46960000,,,0,StopArea:OCE80140087
StopArea:OCE80142281,Karlsruhe Hbf,,48.9935000,8.40190000,,,1,
StopPoint:OCEICE-80142281,Karlsruhe Hbf,,48.9935000,8.40190000,,,0,StopArea:OCE80142281
StopArea:OCE80142778,Baden-Baden,,48.7903690,8.19076800,,,1,
StopPoint:OCEICE-80142778,Baden-Baden,,48.7903690,8.19076800,,,0,StopArea:OCE80142778
StopArea:OCE80143099,Offenburg,,48.4765000,7.94680000,,,1,
StopPoint:OCETGV INOUI-80143099,Offenburg,,48.4765000,7.94680000,,,0,StopArea:OCE80143099
StopArea:OCE80143198,Lahr (Schwarzw),,48.3403060,7.83479000,,,1,
StopPoint:OCETGV INOUI-80143198,Lahr (Schwarzw),,48.3403060,7.83479000,,,0,StopArea:OCE80143198
StopArea:OCE80143255,Ringsheim,,48.2486670,7.77303700,,,1,
StopPoint:OCETGV INOUI-80143255,Ringsheim,,48.2486670,7.77303700,,,0,StopArea:OCE80143255
StopArea:OCE80143503,Freiburg (Breisgau) Hbf,,47.9976330,7.84105200,,,1,
StopPoint:OCETGV INOUI-80143503,Freiburg (Breisgau) Hbf,,47.9976330,7.84105200,,,0,StopArea:OCE80143503
StopArea:OCE80196980,Kaiserslautern Hbf,,49.4359000,7.76880000,,,1,
StopPoint:OCEICE-80196980,Kaiserslautern Hbf,,49.4359000,7.76880000,,,0,StopArea:OCE80196980
StopArea:OCE80203471,Munich,,48.1401000,11.5587000,,,1,
StopPoint:OCEICE-80203471,Munich,,48.1401000,11.5587000,,,0,StopArea:OCE80203471
StopArea:OCE80253914,Sarrebruck,,49.2412010,6.99069000,,,1,
StopPoint:OCEICE-80253914,Sarrebruck,,49.2412010,6.99069000,,,0,StopArea:OCE80253914
StopArea:OCE80290346,Stuttgart Hbf,,48.7840450,9.18138900,,,1,
StopPoint:OCEICE-80290346,Stuttgart Hbf,,48.7840450,9.18138900,,,0,StopArea:OCE80290346
StopArea:OCE80291039,Ulm Hbf,,48.3996050,9.98298900,,,1,
StopPoint:OCEICE-80291039,Ulm Hbf,,48.3996050,9.98298900,,,0,StopArea:OCE80291039
StopArea:OCE82001000,Luxembourg,,49.5997220,6.13472200,,,1,
StopPoint:OCETGV INOUI-82001000,Luxembourg,,49.5997220,6.13472200,,,0,StopArea:OCE82001000
StopArea:OCE83002048,OULX CESANA CLAVIERE SESTRIERE,,45.0387950,6.83143100,,,1,
