route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000001,OCESN12213F1325000:2023-04-25T00:49:04Z,12213,,1,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000002,OCESN12213F1646870:2023-02-14T12:13:01Z,12213,,2,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12213F1647022:2023-02-14T12:13:01Z,12213,,3,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000004,OCESN12213F1897413:2023-03-03T00:45:51Z,12213,,4,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000005,OCESN12213F1898642:2023-03-04T00:52:08Z,12213,,5,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000006,OCESN12213F2032206:2023-03-19T00:51:48Z,12213,,6,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000007,OCESN12244F1335323:2023-05-07T00:45:20Z,12244,,7,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12244F1896015:2023-05-07T00:45:20Z,12244,,8,
FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:,000009,OCESN12246F2207953:2023-05-01T00:53:04Z,12246,,9,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12250F1646625:2023-05-07T00:45:20Z,12250,,10,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12250F1957724:2023-05-07T00:45:20Z,12250,,11,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12250F2150288:2023-05-07T00:45:20Z,12250,,12,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12251F1624854:2023-05-07T00:45:20Z,12251,,13,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000013,OCESN12251F1646626:2023-05-07T00:45:20Z,12251,,14,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12251F1983246:2023-05-07T00:45:20Z,12251,,15,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12252F1646158:2023-05-07T00:45:20Z,12252,,16,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12252F2000103:2023-05-07T00:45:20Z,12252,,17,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000016,OCESN12252F2000933:2023-05-07T00:45:20Z,12252,,18,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12254F1302514:2023-05-07T00:45:20Z,12254,,19,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12254F1304091:2023-05-07T00:45:20Z,12254,,20,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12254F1369999:2023-05-07T00:45:20Z,12254,,21,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000020,OCESN12254F1584171:2023-05-07T00:45:20Z,12254,,22,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000003,OCESN12254F1624849:2023-05-07T00:45:20Z,12254,,23,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12255F1317902:2023-05-07T00:45:20Z,12255,,24,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000022,OCESN12256F1449929:2023-05-07T00:45:20Z,12256,,25,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12258F2238977:2023-05-07T00:45:20Z,12258,,26,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12259F1316854:2023-05-07T00:45:20Z,12259,,27,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000023,OCESN12259F1317833:2023-05-07T00:45:20Z,12259,,28,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12259F1624293:2023-05-07T00:45:20Z,12259,,29,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000024,OCESN12259F1640353:2023-05-07T00:45:20Z,12259,,30,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12259F1827554:2023-05-07T00:45:20Z,12259,,31,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000025,OCESN12260F1317730:2023-05-07T00:45:20Z,12260,,32,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000026,OCESN12260F1366389:2023-05-07T00:45:20Z,12260,,33,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000003,OCESN12260F1582287:2023-05-07T00:45:20Z,12260,,34,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000020,OCESN12260F1645913:2023-05-07T00:45:20Z,12260,,35,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000027,OCESN12260F1662820:2023-05-07T00:45:20Z,12260,,36,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12260F1967530:2023-05-07T00:45:20Z,12260,,37,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000028,OCESN12261F1645954:2023-05-07T00:45:20Z,12261,,38,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12261F1824378:2023-05-07T00:45:20Z,12261,,39,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12261F1958033:2023-05-07T00:45:20Z,12261,,40,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000002,OCESN12261F1958842:2023-05-07T00:45:20Z,12261,,41,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12261F1984492:2023-05-07T00:45:20Z,12261,,42,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000029,OCESN12263F1978083:2023-05-07T00:45:20Z,12263,,43,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000030,OCESN12264F1922195:2023-05-07T00:45:20Z,12264,,44,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000031,OCESN12264F1961301:2023-05-07T00:45:20Z,12264,,45,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12265F1302581:2023-05-07T00:45:20Z,12265,,46,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000029,OCESN12265F1316668:2023-05-07T00:45:20Z,12265,,47,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000032,OCESN12266F1001040:2023-05-07T00:45:20Z,12266,,48,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000025,OCESN12266F1477812:2023-05-07T00:45:20Z,12266,,49,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12267F1912227:2023-02-14T12:13:01Z,12267,,50,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000028,OCESN12267F2072163:2023-05-07T00:45:20Z,12267,,51,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000033,OCESN12267F2072164:2023-05-06T00:48:00Z,12267,,52,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000034,OCESN12268F1144953:2023-05-07T00:45:20Z,12268,,53,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12268F1646999:2023-05-07T00:45:20Z,12268,,54,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000003,OCESN12268F1647000:2023-05-07T00:45:20Z,12268,,55,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000035,OCESN12268F1684295:2023-05-07T00:45:20Z,12268,,56,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000036,OCESN12270F1316790:2023-05-07T00:45:20Z,12270,,57,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000028,OCESN12271F1826819:2023-05-07T00:45:20Z,12271,,58,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000037,OCESN12271F1990847:2023-05-07T00:45:20Z,12271,,59,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000038,OCESN12271F2038213:2023-05-07T00:45:20Z,12271,,60,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12272F1912236:2023-05-07T00:45:20Z,12272,,61,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12272F2181926:2023-05-07T00:45:20Z,12272,,62,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000028,OCESN12273F1316632:2023-05-07T00:45:20Z,12273,,63,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12273F2038032:2023-05-07T00:45:20Z,12273,,64,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12274F1793661:2023-05-07T00:45:20Z,12274,,65,
FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:,000006,OCESN12275F2078348:2023-03-31T01:05:55Z,12275,,66,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000023,OCESN12276F1957800:2023-05-07T00:45:20Z,12276,,67,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12276F1960882:2023-05-07T00:45:20Z,12276,,68,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000039,OCESN12276F2061922:2023-05-07T00:45:20Z,12276,,69,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000040,OCESN12276F2078388:2023-05-07T00:45:20Z,12276,,70,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12276F2204025:2023-05-07T00:45:20Z,12276,,71,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000041,OCESN12289F1375761:2023-05-03T00:44:33Z,12289,,72,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000015,OCESN12297F1581951:2023-05-03T00:44:33Z,12297,,73,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000042,OCESN12297F1646518:2023-05-02T00:46:37Z,12297,,74,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000043,OCESN2050F1954229:2023-05-07T00:45:20Z,2050,,75,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000044,OCESN2051F2099800:2023-05-07T00:45:20Z,2051,1,76,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000045,OCESN2054F2178997:2023-05-07T00:45:20Z,2054,,77,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000043,OCESN2060F2006978:2023-05-07T00:45:20Z,2060,0,78,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000046,OCESN2060F2137661:2023-05-07T00:45:20Z,2060,0,79,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000047,OCESN2061F1817717:2023-05-07T00:45:20Z,2061,1,80,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000048,OCESN2061F2184610:2023-05-07T00:45:20Z,2061,1,81,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000049,OCESN2061F2184612:2023-05-07T00:45:20Z,2061,1,82,
