trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN14140F1608631:2023-04-30T00:46:58Z,07:00:00,07:00:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F1608631:2023-04-30T00:46:58Z,07:45:00,07:47:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F1608631:2023-04-30T00:46:58Z,08:08:00,08:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F1608631:2023-04-30T00:46:58Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F1608631:2023-04-30T00:46:58Z,08:52:00,08:55:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F1608631:2023-04-30T00:46:58Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F1608631:2023-04-30T00:46:58Z,10:33:00,10:33:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F1712056:2023-05-03T00:44:33Z,07:00:00,07:00:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F1712056:2023-05-03T00:44:33Z,07:45:00,07:47:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F1712056:2023-05-03T00:44:33Z,08:08:00,08:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F1712056:2023-05-03T00:44:33Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F1712056:2023-05-03T00:44:33Z,08:52:00,08:55:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F1712056:2023-05-03T00:44:33Z,09:34:00,09:36:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F1712056:2023-05-03T00:44:33Z,10:30:00,10:30:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F1728488:2023-05-05T00:44:59Z,07:00:00,07:00:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
