stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE71793150,Portbou,,42.4270550,3.15726100,,,1,
StopPoint:OCETrain TER-71793150,Portbou,,42.4270550,3.15726100,,,0,StopArea:OCE71793150
StopArea:OCE80142893,Appenweier,,48.5419640,7.97322100,,,1,
StopPoint:OCETrain TER-80142893,Appenweier,,48.5419640,7.97322100,,,0,StopArea:OCE80142893
StopArea:OCE80142901,Legelshurst,,48.5586170,7.91353300,,,1,
StopPoint:OCETrain TER-80142901,Legelshurst,,48.5586170,7.91353300,,,0,StopArea:OCE80142901
StopArea:OCE80142919,Kork,,48.5702000,7.87440000,,,1,
StopPoint:OCETrain TER-80142919,Kork,,48.5702000,7.87440000,,,0,StopArea:OCE80142919
StopArea:OCE80142927,Kehl,,48.5765840,7.80648000,,,1,
StopPoint:OCECar TER-80142927,Kehl,,48.5765840,7.80648000,,,0,StopArea:OCE80142927
StopPoint:OCETrain TER-80142927,Kehl,,48.5765840,7.80648000,,,0,StopArea:OCE80142927
StopArea:OCE80143099,Offenburg,,48.4765000,7.94680000,,,1,
StopPoint:OCETrain TER-80143099,Offenburg,,48.4765000,7.94680000,,,0,StopArea:OCE80143099
StopArea:OCE80143503,Freiburg (Breisgau) Hbf,,47.9976330,7.84105200,,,1,
StopPoint:OCETrain TER-80143503,Freiburg (Breisgau) Hbf,,47.9976330,7.84105200,,,0,StopArea:OCE80143503
StopArea:OCE80144139,Muellheim (Baden),,47.8100000,7.59960000,,,1,
StopPoint:OCECar TER-80144139,Muellheim (Baden),,47.8100000,7.59960000,,,0,StopArea:OCE80144139
StopPoint:OCETrain TER-80144139,Muellheim (Baden),,47.8100000,7.59960000,,,0,StopArea:OCE80144139
StopArea:OCE80191031,Woerth (Rhein),,49.0465880,8.27106500,,,1,
StopPoint:OCETrain TER-80191031,Woerth (Rhein),,49.0465880,8.27106500,,,0,StopArea:OCE80191031
StopArea:OCE80191049,Hagenbach,,49.0163900,8.25333300,,,1,
StopPoint:OCETrain TER-80191049,Hagenbach,,49.0163900,8.25333300,,,0,StopArea:OCE80191049
StopArea:OCE80191064,Berg (Pfalz),,48.9806730,8.21276900,,,1,
StopPoint:OCETrain TER-80191064,Berg (Pfalz),,48.9806730,8.21276900,,,0,StopArea:OCE80191064
StopArea:OCE80251819,Trèves,,49.7563910,6.65191800,,,1,
StopPoint:OCETrain TER-80251819,Trèves,,49.7563910,6.65191800,,,0,StopArea:OCE80251819
StopArea:OCE80251850,Konz Mitte,,49.7003000,6.57380000,,,1,
StopPoint:OCETrain TER-80251850,Konz Mitte,,49.7003000,6.57380000,,,0,StopArea:OCE80251850
StopArea:OCE80251967,Perl,,49.4731660,6.36932000,,,1,
StopPoint:OCETrain TER-80251967,Perl,,49.4731660,6.36932000,,,0,StopArea:OCE80251967
StopArea:OCE80253914,Sarrebruck,,49.2412010,6.99069000,,,1,
StopPoint:OCECar TER-80253914,Sarrebruck,,49.2412010,6.99069000,,,0,StopArea:OCE80253914
StopPoint:OCETrain TER-80253914,Sarrebruck,,49.2412010,6.99069000,,,0,StopArea:OCE80253914
StopPoint:OCETramTrain-80253914,Sarrebruck,,49.2412010,6.99069000,,,0,StopArea:OCE80253914
StopArea:OCE80646133,Maximiliansau Im Ruesten,,49.0348700,8.27937300,,,1,
StopPoint:OCETrain TER-80646133,Maximiliansau Im Ruesten,,49.0348700,8.27937300,,,0,StopArea:OCE80646133
StopArea:OCE80646141,Neuburg (Rhein),,48.9921330,8.23822700,,,1,
StopPoint:OCETrain TER-80646141,Neuburg (Rhein),,48.9921330,8.23822700,,,0,StopArea:OCE80646141
StopArea:OCE82001000,Luxembourg,,49.5997220,6.13472200,,,1,
StopPoint:OCECar TER-82001000,Luxembourg,,49.5997220,6.13472200,,,0,StopArea:OCE82001000
StopPoint:OCETrain TER-82001000,Luxembourg,,49.5997220,6.13472200,,,0,StopArea:OCE82001000
StopArea:OCE82002370,Rodange,,49.5510350,5.84347200,,,1,
StopPoint:OCECar TER-82002370,Rodange,,49.5510350,5.84347200,,,0,StopArea:OCE82002370
StopPoint:OCETrain TER-82002370,Rodange,,49.5510350,5.84347200,,,0,StopArea:OCE82002370
StopArea:OCE82002501,Howald,,49.5803200,6.13232000,,,1,
StopPoint:OCECar TER-82002501,Howald,,49.5803200,6.13232000,,,0,StopArea:OCE82002501
StopPoint:OCETrain TER-82002501,Howald,,49.5803200,6.13232000,,,0,StopArea:OCE82002501
StopArea:OCE82006030,Bettembourg,,49.5161110,6.10111100,,,1,
StopPoint:OCECar TER-82006030,Bettembourg,,49.5161110,6.10111100,,,0,StopArea:OCE82006030
StopPoint:OCETrain TER-82006030,Bettembourg,,49.5161110,6.10111100,,,0,StopArea:OCE82006030
StopArea:OCE82007104,Luxembourg secteur Hollerich,,49.5958600,6.11878000,,,1,
