Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Abbeville;87317362;80100;b;650701;793538;505759;616779;757362;923612;710325;866250;750298;914998;727081;886684;758410;924890
Acheux - Franleu;87316745;80560;c;0;0;0;0;2;2;235;235;104;104;308;308;898;898
Aix-en-Provence;87751404;13100;b;276414;294057;189752;201864;542347;576965;769147;818241;1106279;1176893;998093;1061802;1011615;1076187
Allée de la Tour Rendez-Vous;87113878;93320;b;687434;687434;940572;940572;630008;630008;651602;651602;673383;673383;683635;683635;690917;690917
Alleyras;87731885;43580;c;1447;1447;949;949;1310;1310;1013;1013;812;812;598;598;510;510
Anchamps;87172858;8500;c;5985;5985;5694;5694;7376;7376;6979;6979;6235;6235;5123;5123;6400;6400
Andelot-en-Montagne;87715102;39320;c;9982;9982;4698;4698;5782;5782;4050;4050;6806;6806;9288;9288;9918;9918
Annappes;87286856;59650;c;1388;1388;882;882;1638;1638;1285;1285;811;811;641;641;883;883
Annecy;87746008;74000;a;2127405;2659257;1562888;1953611;2334077;2917596;2209179;2761473;2390892;2988615;2216925;2771156;2235873;2794841
Anse;87721324;69480;b;343949;429936;284335;355418;444151;555189;397142;496428;397242;496552;365763;457204;369752;462190
Anzeling;87191387;57320;c;1789;1789;1560;1560;1591;1591;1191;1191;744;744;657;657;791;791
Apach;87191643;57480;c;294;294;369;369;907;907;1164;1164;1105;1105;1059;1059;1066;1066
Argelès-sur-Mer;87784231;66700;b;124292;155365;86560;108200;117724;147155;103492;129365;126203;157754;106538;133172;125241;156551
Argentière;87746859;74400;c;12758;12758;12408;12408;14463;14463;15238;15238;13277;13277;15678;15678;16513;16513
Arleux;87345421;59151;c;23159;23159;22092;22092;39865;39865;39776;39776;45719;45719;47584;47584;51057;51057
Arnage;87396549;72230;c;8831;8831;7963;7963;12703;12703;14550;14550;17688;17688;15575;15575;19029;19029
Assat;87672162;64510;c;586;586;559;559;273;273;151;151;168;168;461;461;236;236
Assier;87613075;46320;c;10281;10281;7173;7173;8883;8883;7528;7528;9895;9895;10561;10561;10321;10321
Athis-Mons;87545251;91200;b;1064434;1064434;570450;570450;1684717;1684717;1680397;1680397;1687816;1687816;1660228;1660228;1625618;1625618
Aubagne;87751750;13400;b;844535;1126046;634307;845743;958241;1277655;935040;1246720;971737;1295649;841969;1122626;747027;996037
Aubiat;87734111;63260;c;5672;5672;5053;5053;8809;8809;7945;7945;6420;6420;4849;4849;4419;4419
Aubigny-en-Artois;87342246;62690;c;21048;21048;39296;39296;50207;50207;48982;48982;58250;58250;60607;60607;63351;63351
Aurillac;87645002;15000;b;115900;144875;81046;101308;120175;150218;136951;171189;154733;193417;143170;178963;160641;200801
Avenay;87171579;51160;c;22380;22380;17236;17236;18793;18793;12786;12786;15908;15908;21039;21039;24502;24502
Azay-sur-Cher;87574442;37270;c;13552;13552;8865;8865;13599;13599;13004;13004;13521;13521;13090;13090;12858;12858
Babinière;87590349;44240;b;32561;40701;34528;43160;65168;81461;93097;116372;114818;143522;107295;134119;96983;121229
Baccarat;87141416;54120;b;101089;126362;86853;108566;128406;160508;116842;146052;129480;161851;134114;167642;145136;181420
Bains-les-Bains;87144147;88240;c;1788;1788;1965;1965;2801;2801;2384;2384;3047;3047;3918;3918;4001;4001
Balbigny;87726869;42510;b;71325;89157;58218;72773;83759;104699;77780;97226;96801;121001;105225;131532;110115;137643
Ballan-Miré;87571604;37510;c;25746;25746;28881;28881;44366;44366;38016;38016;36096;36096;33804;33804;38356;38356
